What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,What is your familiarity with: using git for version control,What is your familiarity with: Creating documents with Markdown,What is your familiarity with: Using the R programming language,What is your programming experience?,How many countries have you visited in your life?,Do you consider yourself:,Are you a Seahawks fan?
Sophomore,Yes,Linux,Intermediate user,Intermediate user,Have used it a few times,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A dog person...,Yes
Sophomore,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,12,Both!,Yes
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,A dog person...,YES!
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,6,Neither,YES!
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,A dog person...,Yes
Junior,Yes,Windows,Have used it a few times,Have used it a few times,Never used it,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,Both!,Yes
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,A dog person...,YES!
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,Both!,Yes
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,Neither,YES!
Senior,Yes,Mac,Intermediate user,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,A dog person...,Yes
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",0,A dog person...,Yes
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,1,Both!,YES!
Sophomore,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,A cat person....,Yes
Sophomore,Yes,Mac,Intermediate user,Have used it a few times,Never used it,Never used it,"Lots of experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Neither,Yes
Senior,No,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,A dog person...,YES!
Sophomore,Yes,Windows,Have used it a few times,Have used it a few times,Have used it a few times,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,A dog person...,Yes
Junior,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,6,A dog person...,YES!
Sophomore,Maybe,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",24,A dog person...,Yes
Junior,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,A dog person...,Yes
Freshman,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,Both!,Yes
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,A dog person...,No
Junior,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Both!,YES!
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,A cat person....,No
Sophomore,Yes,Windows,Intermediate user,Intermediate user,Have used it a few times,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",2,A dog person...,Yes
Junior,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,Both!,YES!
Freshman,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,Neither,No
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,14,A cat person....,YES!
Sophomore,Yes,Mac,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,A dog person...,YES!
Junior,Yes,Mac,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,A dog person...,Yes
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,15,A dog person...,No
Junior,Yes,Windows,Have used it a few times,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",0,Both!,YES!
Freshman,Maybe,Mac,Have used it a few times,Never used it,Never used it,Never used it,Experimented a bit with simple programming,10,Neither,No
